i	project	covered	total	percentual	original
0	aiakos-contracts	14	30	46.67	66.67
1	aiakos-contracts	14	30	46.67	66.67
2	aiakos-contracts	14	30	46.67	66.67
3	aiakos-contracts	14	30	46.67	66.67
4	aiakos-contracts	14	30	46.67	66.67
5	aiakos-contracts	14	30	46.67	66.67
6	aiakos-contracts	14	30	46.67	66.67
7	aiakos-contracts	14	30	46.67	66.67
8	aiakos-contracts	14	30	46.67	66.67
9	aiakos-contracts	14	30	46.67	66.67
10	aiakos-contracts	14	30	46.67	66.67
11	aiakos-contracts	14	30	46.67	66.67
12	aiakos-contracts	14	30	46.67	66.67
13	aiakos-contracts	14	30	46.67	66.67
14	aiakos-contracts	14	30	46.67	66.67
15	aiakos-contracts	14	30	46.67	66.67
16	aiakos-contracts	14	30	46.67	66.67
17	aiakos-contracts	14	30	46.67	66.67
18	aiakos-contracts	14	30	46.67	66.67
19	aiakos-contracts	14	30	46.67	66.67
20	aiakos-contracts	14	30	46.67	66.67
21	aiakos-contracts	14	30	46.67	66.67
22	aiakos-contracts	14	30	46.67	66.67
23	aiakos-contracts	14	30	46.67	66.67
24	aiakos-contracts	14	30	46.67	66.67
25	aiakos-contracts	14	30	46.67	66.67
26	aiakos-contracts	15	30	50	66.67
27	aiakos-contracts	14	30	46.67	66.67
28	aiakos-contracts	14	30	46.67	66.67
29	aiakos-contracts	14	30	46.67	66.67
0	button	20	34	58.82	29.41
1	button	20	34	58.82	29.41
2	button	19	34	55.88	29.41
3	button	20	34	58.82	29.41
4	button	21	34	61.76	29.41
5	button	17	34	50	29.41
6	button	21	34	61.76	29.41
7	button	21	34	61.76	29.41
8	button	21	34	61.76	29.41
9	button	21	34	61.76	29.41
10	button	21	34	61.76	29.41
11	button	21	34	61.76	29.41
12	button	21	34	61.76	29.41
13	button	20	34	58.82	29.41
14	button	20	34	58.82	29.41
15	button	21	34	61.76	29.41
16	button	19	34	55.88	29.41
17	button	21	34	61.76	29.41
18	button	21	34	61.76	29.41
19	button	20	34	58.82	29.41
20	button	21	34	61.76	29.41
21	button	21	34	61.76	29.41
22	button	21	34	61.76	29.41
23	button	19	34	55.88	29.41
24	button	21	34	61.76	29.41
25	button	22	34	64.71	29.41
26	button	21	34	61.76	29.41
27	button	17	34	50	29.41
28	button	22	34	64.71	29.41
29	button	21	34	61.76	29.41
0	crowdsale	2	2	100	100
1	crowdsale	2	2	100	100
2	crowdsale	2	2	100	100
3	crowdsale	2	2	100	100
4	crowdsale	2	2	100	100
5	crowdsale	2	2	100	100
6	crowdsale	2	2	100	100
7	crowdsale	2	2	100	100
8	crowdsale	2	2	100	100
9	crowdsale	2	2	100	100
10	crowdsale	2	2	100	100
11	crowdsale	2	2	100	100
12	crowdsale	2	2	100	100
13	crowdsale	2	2	100	100
14	crowdsale	2	2	100	100
15	crowdsale	1	2	50	100
16	crowdsale	2	2	100	100
17	crowdsale	2	2	100	100
18	crowdsale	2	2	100	100
19	crowdsale	2	2	100	100
20	crowdsale	2	2	100	100
21	crowdsale	2	2	100	100
22	crowdsale	2	2	100	100
23	crowdsale	2	2	100	100
24	crowdsale	2	2	100	100
25	crowdsale	2	2	100	100
26	crowdsale	2	2	100	100
27	crowdsale	1	2	50	100
28	crowdsale	2	2	100	100
29	crowdsale	2	2	100	100
0	06	25	36	69.44	33.33
1	06	25	36	69.44	33.33
2	06	25	36	69.44	33.33
3	06	25	36	69.44	33.33
4	06	25	36	69.44	33.33
5	06	25	36	69.44	33.33
6	06	25	36	69.44	33.33
7	06	25	36	69.44	33.33
8	06	25	36	69.44	33.33
9	06	25	36	69.44	33.33
10	06	25	36	69.44	33.33
11	06	25	36	69.44	33.33
12	06	25	36	69.44	33.33
13	06	26	36	72.22	33.33
14	06	25	36	69.44	33.33
15	06	25	36	69.44	33.33
16	06	25	36	69.44	33.33
